 	U+0020 (alt-032)	SPACE
a  	U+0061 (alt-097)	LATIN SMALL LETTER A
b  	U+0062 (alt-098)	LATIN SMALL LETTER B
c  	U+0063 (alt-099)	LATIN SMALL LETTER C
d  	U+0064 (alt-0100)	LATIN SMALL LETTER D
e  	U+0065 (alt-0101)	LATIN SMALL LETTER E
f  	U+0066 (alt-0102)	LATIN SMALL LETTER F
g  	U+0067 (alt-0103)	LATIN SMALL LETTER G
h  	U+0068 (alt-0104)	LATIN SMALL LETTER H
i  	U+0069 (alt-0105)	LATIN SMALL LETTER I
j  	U+006A (alt-0106)	LATIN SMALL LETTER J
k  	U+006B (alt-0107)	LATIN SMALL LETTER K
l  	U+006C (alt-0108)	LATIN SMALL LETTER L
m  	U+006D (alt-0109)	LATIN SMALL LETTER M
n  	U+006E (alt-0110)	LATIN SMALL LETTER N
o  	U+006F (alt-0111)	LATIN SMALL LETTER O
p  	U+0070 (alt-0112)	LATIN SMALL LETTER P
q  	U+0071 (alt-0113)	LATIN SMALL LETTER Q
r  	U+0072 (alt-0114)	LATIN SMALL LETTER R
s  	U+0073 (alt-0115)	LATIN SMALL LETTER S
t  	U+0074 (alt-0116)	LATIN SMALL LETTER T
u  	U+0075 (alt-0117)	LATIN SMALL LETTER U
v  	U+0076 (alt-0118)	LATIN SMALL LETTER V
w  	U+0077 (alt-0119)	LATIN SMALL LETTER W
x  	U+0078 (alt-0120)	LATIN SMALL LETTER X
y  	U+0079 (alt-0121)	LATIN SMALL LETTER Y
z  	U+007A (alt-0122)	LATIN SMALL LETTER Z
A  	U+0041 (alt-065)	LATIN CAPITAL LETTER A
B  	U+0042 (alt-066)	LATIN CAPITAL LETTER B
C  	U+0043 (alt-067)	LATIN CAPITAL LETTER C
D  	U+0044 (alt-068)	LATIN CAPITAL LETTER D
E  	U+0045 (alt-069)	LATIN CAPITAL LETTER E
F  	U+0046 (alt-070)	LATIN CAPITAL LETTER F
G  	U+0047 (alt-071)	LATIN CAPITAL LETTER G
H  	U+0048 (alt-072)	LATIN CAPITAL LETTER H
I  	U+0049 (alt-073)	LATIN CAPITAL LETTER I
J  	U+004A (alt-074)	LATIN CAPITAL LETTER J
K  	U+004B (alt-075)	LATIN CAPITAL LETTER K
L  	U+004C (alt-076)	LATIN CAPITAL LETTER L
M  	U+004D (alt-077)	LATIN CAPITAL LETTER M
N  	U+004E (alt-078)	LATIN CAPITAL LETTER N
O  	U+004F (alt-079)	LATIN CAPITAL LETTER O
P  	U+0050 (alt-080)	LATIN CAPITAL LETTER P
Q  	U+0051 (alt-081)	LATIN CAPITAL LETTER Q
R  	U+0052 (alt-082)	LATIN CAPITAL LETTER R
S  	U+0053 (alt-083)	LATIN CAPITAL LETTER S
T  	U+0054 (alt-084)	LATIN CAPITAL LETTER T
U  	U+0055 (alt-085)	LATIN CAPITAL LETTER U
V  	U+0056 (alt-086)	LATIN CAPITAL LETTER V
W  	U+0057 (alt-087)	LATIN CAPITAL LETTER W
X  	U+0058 (alt-088)	LATIN CAPITAL LETTER X
Y  	U+0059 (alt-089)	LATIN CAPITAL LETTER Y
Z  	U+005A (alt-090)	LATIN CAPITAL LETTER Z
À  	U+00C0 (alt-0192)	LATIN CAPITAL LETTER A WITH GRAVE
Á  	U+00C1 (alt-0193)	LATIN CAPITAL LETTER A WITH ACUTE
Â  	U+00C2 (alt-0194)	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
Ã  	U+00C3 (alt-0195)	LATIN CAPITAL LETTER A WITH TILDE
Ä  	U+00C4 (alt-0196)	LATIN CAPITAL LETTER A WITH DIAERESIS
Å  	U+00C5 (alt-0197)	LATIN CAPITAL LETTER A WITH RING ABOVE
Æ  	U+00C6 (alt-0198)	LATIN CAPITAL LETTER AE = latin capital ligature ae
Ç  	U+00C7 (alt-0199)	LATIN CAPITAL LETTER C WITH CEDILLA
È  	U+00C8 (alt-0200)	LATIN CAPITAL LETTER E WITH GRAVE
É  	U+00C9 (alt-0201)	LATIN CAPITAL LETTER E WITH ACUTE
